"Localidad","Dia","HoraInt","Homicidios"
"Ciudad Bolivar","lunes","[8-12)",15
"Ciudad Bolivar","miércoles","[12- 16)",22
"Ciudad Bolivar","domingo","[20-24)",46
"Ciudad Bolivar","martes","[4-8)",17
"Ciudad Bolivar","lunes","[0-4)",17
"Ciudad Bolivar","lunes","[16-20)",31
"Ciudad Bolivar","domingo","[4-8)",19
"Ciudad Bolivar","lunes","[12- 16)",17
"Ciudad Bolivar","domingo","[16-20)",36
"Ciudad Bolivar","sábado","[12- 16)",37
"Ciudad Bolivar","domingo","[8-12)",17
"Ciudad Bolivar","martes","[8-12)",8
"Ciudad Bolivar","viernes","[12- 16)",15
"Ciudad Bolivar","miércoles","[8-12)",14
"Ciudad Bolivar","miércoles","[4-8)",14
"Ciudad Bolivar","martes","[12- 16)",11
"Chapinero","sábado","[12- 16)",5
"Chapinero","viernes","[4-8)",4
"Chapinero","miércoles","[20-24)",4
"Chapinero","jueves","[0-4)",3
"Chapinero","domingo","[4-8)",2
"Chapinero","viernes","[12- 16)",1
"Chapinero","martes","[12- 16)",2
"Chapinero","martes","[20-24)",1
"Chapinero","sábado","[0-4)",9
"Chapinero","domingo","[0-4)",2
"Chapinero","viernes","[20-24)",4
"Chapinero","viernes","[0-4)",9
"Chapinero","sábado","[16-20)",2
"Chapinero","viernes","[8-12)",3
"Chapinero","lunes","[0-4)",2
"Chapinero","domingo","[8-12)",2
"Chapinero","lunes","[12- 16)",2
"Chapinero","jueves","[20-24)",2
"Chapinero","miércoles","[4-8)",1
"Chapinero","martes","[8-12)",1
"Chapinero","domingo","[16-20)",1
"Chapinero","martes","[4-8)",1
"Chapinero","lunes","[16-20)",1
"Chapinero","domingo","[20-24)",2
"Chapinero","martes","[0-4)",1
"Chapinero","lunes","[20-24)",4
"Chapinero","sábado","[8-12)",1
"Chapinero","sábado","[20-24)",1
"Sumapaz","sábado","[20-24)",3
"Sumapaz","jueves","[16-20)",3
"Sumapaz","lunes","[20-24)",1
"Sumapaz","sábado","[12- 16)",2
"Sumapaz","viernes","[0-4)",3
"Sumapaz","sábado","[16-20)",1
"Sumapaz","viernes","[16-20)",1
"Sumapaz","domingo","[12- 16)",3
"Santa Fe","lunes","[20-24)",14
"Santa Fe","martes","[20-24)",12
"Santa Fe","viernes","[0-4)",15
"Santa Fe","lunes","[8-12)",3
"Santa Fe","sábado","[12- 16)",8
"Santa Fe","sábado","[20-24)",21
"Santa Fe","sábado","[4-8)",17
"Santa Fe","martes","[16-20)",5
